ano,id_uf,id_municipio,nome_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,taxa_analfabetismo_11a14,taxa_analfabetismo_15a17,taxa_analfabetismo_15mais,taxa_frequencia_6a14,taxa_frequencia_4a5,taxa_frequencia_0a3,expectativa_anos_estudo,taxa_fundamental_incompleto,renda_per_capita,indice_gini,percentual_pobres,percentual_extremamente_pobres,percentual_vulneraveis_pobreza,percentual_domicilios_agua,percentual_domicilios_energia,taxa_densidade_domiciliar
2010,26,2607703,Itapetim,0.592,0.494,0.598,0.704,4.51,3.31,25.63,97.5,82.55,12.4,9.13,47.23,331.14,0.55,57.37,36.76,23.82,66.24,99.6,18.09
2010,26,2607752,Itapissuma,0.633,0.564,0.589,0.764,4.4,3.87,18.53,97.56,90.14,25.26,10.23,34.15,312.47,0.54,65.92,33.57,15.35,89.87,100.0,33.79
2010,26,2607802,Itaquitinga,0.586,0.509,0.554,0.715,7.85,5.53,27.72,97.31,94.5,23.19,9.67,40.53,251.09,0.45,66.74,35.61,16.22,77.26,99.32,31.79
2010,26,2607901,Jaboatão Dos Guararapes,0.717,0.642,0.692,0.83,3.51,2.51,9.13,96.77,87.92,29.53,9.25,22.48,593.9,0.58,42.63,17.61,6.35,92.31,99.94,26.62
2010,26,2607950,Jaqueira,0.575,0.454,0.557,0.751,9.3,6.07,32.67,95.43,73.68,11.49,8.91,46.27,256.76,0.59,75.88,48.84,24.15,62.56,99.26,42.01
2010,26,2608008,Jataúba,0.53,0.381,0.549,0.712,11.0,6.36,34.29,97.55,88.46,15.74,8.14,62.17,244.26,0.49,68.66,41.76,20.78,31.09,98.08,31.18
2010,26,2608057,Jatobá,0.645,0.573,0.604,0.775,8.05,3.44,22.63,97.66,88.94,24.44,9.47,33.78,342.33,0.57,59.16,38.48,21.07,77.92,99.67,30.22
2010,26,2608107,João Alfredo,0.576,0.466,0.569,0.72,7.82,5.27,35.7,97.06,86.25,13.92,9.09,49.59,276.15,0.49,62.41,37.34,19.74,63.52,99.54,28.31
2010,26,2608206,Joaquim Nabuco,0.554,0.449,0.561,0.676,8.78,5.51,29.65,95.48,78.81,10.49,8.9,49.02,263.01,0.48,65.89,36.26,15.13,77.55,99.79,36.76
2010,26,2608255,Jucati,0.55,0.451,0.541,0.681,5.73,4.1,32.67,97.99,86.43,13.78,9.57,52.84,232.08,0.5,70.66,44.61,24.71,47.07,98.93,27.16
2010,26,2608305,Jupi,0.575,0.487,0.56,0.698,6.74,4.68,32.19,96.24,88.18,19.5,9.33,47.76,260.42,0.5,65.45,41.93,23.09,44.73,99.64,27.88
2010,26,2608404,Jurema,0.509,0.372,0.522,0.681,6.74,5.74,37.95,95.98,68.15,20.71,8.89,62.4,206.22,0.51,74.52,48.57,30.28,77.25,99.14,31.84
2010,26,2608453,Lagoa Do Carro,0.609,0.505,0.566,0.789,6.43,3.72,23.66,97.78,96.55,28.27,9.67,42.18,271.36,0.45,62.19,32.8,15.32,65.59,99.21,25.33
2010,26,2608503,Lagoa De Itaenga,0.602,0.509,0.555,0.774,4.16,3.68,26.86,98.88,90.4,16.11,9.84,45.57,252.8,0.45,68.06,37.41,13.83,73.88,99.64,30.36
2010,26,2608602,Lagoa Do Ouro,0.525,0.369,0.536,0.733,11.63,8.68,40.14,96.51,68.76,12.7,7.15,59.11,224.13,0.51,70.81,48.01,26.09,91.88,99.51,27.64
2010,26,2608701,Lagoa Dos Gatos,0.551,0.416,0.555,0.725,8.12,7.19,39.05,96.49,77.26,11.81,8.8,57.44,253.4,0.5,65.92,41.7,21.98,62.46,99.97,31.23
2010,26,2608750,Lagoa Grande,0.597,0.52,0.581,0.705,6.1,4.03,24.43,96.29,69.68,8.75,9.12,39.09,296.99,0.52,63.02,32.76,16.39,76.41,98.29,39.2
2010,26,2608800,Lajedo,0.611,0.503,0.599,0.758,5.35,5.14,26.23,97.92,90.83,28.7,9.77,45.38,333.52,0.5,56.52,33.28,13.16,81.59,99.45,25.28
2010,26,2608909,Limoeiro,0.663,0.583,0.628,0.797,2.56,1.81,20.0,97.98,93.76,16.77,9.9,31.93,398.37,0.51,51.8,24.77,9.27,72.74,99.59,24.91
2010,26,2609006,Macaparana,0.609,0.508,0.571,0.778,7.7,6.49,31.59,97.94,91.65,23.44,9.28,40.67,278.93,0.51,65.11,38.14,17.16,91.93,99.33,35.12
2010,26,2609105,Machados,0.578,0.466,0.541,0.767,11.81,8.26,29.35,82.89,64.5,16.29,8.49,45.62,231.75,0.48,68.41,42.83,19.98,79.83,99.57,38.7
2010,26,2609154,Manari,0.487,0.354,0.477,0.682,16.15,9.92,39.85,93.42,77.13,11.95,7.8,60.97,155.49,0.54,81.03,60.91,41.05,30.95,97.95,51.91
2010,26,2609204,Maraial,0.534,0.403,0.541,0.698,12.52,9.34,35.09,94.07,58.84,7.4,8.72,54.05,232.31,0.54,77.77,49.51,22.18,73.85,98.21,44.77
2010,26,2609303,Mirandiba,0.591,0.525,0.512,0.769,11.62,7.26,23.67,95.79,73.09,15.33,8.97,37.82,193.86,0.58,79.61,58.12,34.58,67.01,96.88,40.49
2010,26,2609402,Moreno,0.652,0.564,0.61,0.805,5.7,3.43,16.83,95.82,89.74,24.94,9.2,32.46,356.7,0.53,59.07,30.11,12.07,91.35,99.82,29.07
2010,26,2609501,Nazaré Da Mata,0.662,0.604,0.608,0.789,6.21,4.47,19.2,96.08,96.48,36.43,9.58,30.91,351.46,0.49,57.05,26.63,11.04,86.3,99.54,26.21
2010,26,2609600,Olinda,0.735,0.675,0.704,0.836,3.21,2.34,7.03,96.89,89.39,33.01,9.63,18.21,640.13,0.55,36.97,15.18,4.99,97.33,99.93,27.69
2010,26,2609709,Orobó,0.61,0.528,0.545,0.787,6.65,4.08,29.41,97.21,90.26,33.52,9.95,37.28,237.64,0.52,68.78,42.83,25.35,53.87,99.63,35.69
2010,26,2609808,Orocó,0.61,0.553,0.536,0.766,6.22,5.02,23.97,98.01,79.06,10.21,10.18,36.45,224.41,0.51,73.87,49.17,23.16,84.23,98.93,40.4
2010,26,2609907,Ouricuri,0.572,0.419,0.578,0.773,13.04,7.73,28.77,92.37,60.47,8.05,7.86,49.33,291.75,0.6,69.1,43.46,25.72,60.18,97.56,39.84
2010,26,2610004,Palmares,0.622,0.55,0.588,0.744,7.53,3.85,21.46,96.32,79.21,28.18,8.79,34.73,311.09,0.49,60.34,32.14,13.14,88.52,99.74,39.11
2010,26,2610103,Palmeirina,0.549,0.438,0.554,0.681,7.81,6.13,33.07,94.0,66.72,15.64,8.17,53.4,251.44,0.51,67.85,47.29,22.85,73.76,99.15,29.43
2010,26,2610202,Panelas,0.569,0.433,0.546,0.778,6.7,5.85,38.0,98.55,84.73,14.66,9.45,56.58,238.61,0.56,71.63,49.52,29.62,62.99,99.07,33.92
2010,26,2610301,Paranatama,0.537,0.418,0.528,0.703,10.0,5.22,37.07,97.93,82.95,15.93,8.16,53.98,213.74,0.55,72.3,49.1,34.36,42.28,99.74,29.08
2010,26,2610400,Parnamirim,0.599,0.499,0.556,0.776,5.4,5.64,24.8,96.96,68.95,8.95,9.5,38.06,255.27,0.59,70.76,49.35,30.95,57.59,94.91,39.63
2010,26,2610509,Passira,0.592,0.487,0.559,0.763,3.72,4.62,32.15,95.89,82.63,14.8,9.44,47.57,259.04,0.5,67.19,40.63,19.53,63.84,99.85,30.58
2010,26,2610608,Paudalho,0.639,0.545,0.612,0.782,5.9,4.75,21.18,96.69,86.41,15.44,9.37,36.46,360.06,0.56,63.96,30.92,11.74,81.26,99.58,31.4
2010,26,2610707,Paulista,0.732,0.703,0.673,0.83,2.39,1.72,6.13,97.87,90.4,29.55,9.83,15.54,528.04,0.49,37.58,14.83,5.25,97.84,99.97,24.64
2010,26,2610806,Pedra,0.567,0.445,0.55,0.743,9.34,8.5,32.98,92.0,77.17,21.33,7.87,53.38,244.48,0.53,72.15,46.49,23.23,60.29,98.37,34.33
2010,26,2610905,Pesqueira,0.61,0.506,0.597,0.751,6.9,5.62,25.33,97.41,85.49,18.22,8.97,41.29,329.16,0.56,62.5,39.31,20.08,71.46,99.06,28.44
2010,26,2611002,Petrolândia,0.623,0.531,0.604,0.755,5.3,2.73,18.15,96.0,82.54,9.13,8.61,34.9,344.04,0.55,60.63,34.12,16.39,90.13,98.68,38.89
2010,26,2611101,Petrolina,0.697,0.611,0.695,0.799,3.71,2.82,12.04,97.0,76.18,14.35,9.25,26.94,605.06,0.62,45.73,19.61,6.99,91.95,99.18,36.89
2010,26,2611200,Poção,0.528,0.402,0.542,0.677,6.25,6.66,33.96,97.05,85.16,17.52,8.34,58.96,233.91,0.54,69.21,48.44,29.56,53.8,99.72,25.16
2010,26,2611309,Pombos,0.598,0.463,0.584,0.79,6.97,5.91,28.73,94.98,86.97,25.2,9.49,43.81,302.97,0.48,60.1,35.01,12.99,70.64,99.35,24.68
2010,26,2611408,Primavera,0.58,0.444,0.572,0.767,10.06,5.85,28.18,96.73,81.94,29.26,8.15,46.69,281.27,0.44,62.79,32.41,10.91,68.62,99.51,37.3
2010,26,2611507,Quipapá,0.552,0.427,0.53,0.743,7.27,5.94,36.45,97.26,77.24,16.83,8.97,52.56,215.92,0.48,74.96,46.59,21.35,78.48,99.07,37.67
2010,26,2611533,Quixaba,0.577,0.482,0.53,0.752,3.13,3.41,28.18,99.17,92.87,22.3,8.04,39.85,216.87,0.49,70.86,44.68,27.64,50.78,99.72,31.92
2010,26,2611606,Recife,0.772,0.698,0.798,0.825,3.05,2.4,7.13,97.05,90.91,35.56,9.53,16.67,1144.26,0.68,32.91,13.2,4.77,97.45,99.92,25.78
